Industry Baby
Bliding Lights
Um Girassol Da Cor de Seu Cabelo
Abre alas
Alalaô
Balancê
Cachaça
Praia da estação
Manjericão
Kilariô
Ando Meio Desligado
Juizo Final
O morro não tem vez
Cilada
Mal acostumado
Tempos Modernos
Hey Pachuco
Luz de Tieta
Prefixo do verão
Pequena eva
Anunciação
Várias queixas
Cordeiro de nana
Besame mucho
Billie Jean
Beat It + Thriller
Não quero dinheiro
Frevo mulher
Coroné Antônio Bento
Cheguei
Malha Funk + I Feel Good
Se tá solteira
Parados no bailão
Don't You Forget About Me
Não é Mole Não + Cantaloupe Island
You Oughta Know
Chamelon and The Chicken
Se Você Pensa
Don't Let Me Be Misunderstood
Baile Inolvidable
